[2026-05-12 20:46:13,033] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34820.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:14,008] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34820.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:15,032] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34877.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:16,007] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34877.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:17,080] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34877.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:18,055] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34934.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:19,030] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34934.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:20,054] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34934.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:21,029] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34934.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:22,052] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34934.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:23,076] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34934.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:24,051] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34934.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:25,075] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34934.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:26,050] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34934.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:27,074] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34934.0 Ω | Previsão Nicla: fresca
