[2026-05-12 21:00:02,590] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 31045.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:03,614] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 31250.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:04,637] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 31250.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:05,612] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 31250.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:06,636] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 31341.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:07,611] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 31341.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:08,635] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 31341.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:09,659] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 31527.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:10,634] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 31527.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:11,657] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 31527.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:12,632] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 31620.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:13,656] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 31620.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:14,680] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 31620.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:15,655] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 31809.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:16,679] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 31809.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:17,654] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 31809.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:18,677] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 31904.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:19,701] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 31904.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:20,676] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 31904.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:21,700] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 32193.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:22,675] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 32193.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:23,699] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 32193.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:24,722] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 32217.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:25,697] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 32217.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:26,721] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 32217.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:27,696] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 32388.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:28,720] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 32388.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:29,744] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 32388.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:30,719] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 32388.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:31,742] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 32487.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:32,766] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 32487.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:33,741] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 32487.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:34,765] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 32661.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:35,740] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 32661.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:36,764] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 32661.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:37,788] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 32736.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:38,763] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 32736.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:39,786] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 32736.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:40,761] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 32913.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:41,785] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 32913.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:42,809] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 32913.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:43,784] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 32989.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:44,808] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 32989.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:45,783] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 32989.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:46,806] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 33117.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:47,830] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 33117.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:48,805] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 33117.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:49,829] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 33195.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:50,804] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 33195.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:51,828] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 33195.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:52,851] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 33402.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:53,826] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 33402.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:54,850] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 33402.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:55,874] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 33350.0 Ω | Previsão Nicla: fresca
[2026-05-12 21:00:56,849] [INFO] [RipeRadar-OfflineTest] [OFFLINE] Decisão Final: banana_fresca | Confiança Câmara: 0.836 | Label Câmara: banana_podre | VOCs: 33350.0 Ω | Previsão Nicla: fresca
